t1,t2,seqnr
1678787096141352717,1678787096143378712,177
1678787096241352874,1678787096243378909,178
1678787096341352871,1678787096343379125,179
1678787096441357034,1678787096443383201,180
1678787096541352932,1678787096543379053,181
1678787096641353146,1678787096643379581,182
1678787096741352817,1678787096743379169,183
1678787096841352865,1678787096843378718,184
1678787096941352723,1678787096943379069,185
1678787097041352792,1678787097043378952,186
1678787097141352676,1678787097143378868,187
1678787097241352732,1678787097243378908,188
1678787097341352745,1678787097343378813,189
1678787097441356509,1678787097443382591,190
1678787097541352841,1678787097543378998,191
1678787097641353166,1678787097643379484,192
1678787097741352934,1678787097743379212,193
1678787097841352837,1678787097843379170,194
1678787097941352730,1678787097943379000,195
1678787098041352830,1678787098043378963,196
1678787098141352752,1678787098143378810,197
1678787098241352772,1678787098243378835,198
1678787098341352826,1678787098343378804,199
1678787098441356375,1678787098443382530,200
1678787098541352866,1678787098543378978,201
1678787098641353201,1678787098643379789,202
1678787098741352848,1678787098743379026,203
1678787098841352814,1678787098843378947,204
1678787098941352706,1678787098943378814,205
1678787099041352867,1678787099043378463,206
1678787099141352799,1678787099143378883,207
1678787099241352629,1678787099243378818,208
1678787099341352761,1678787099343378782,209
1678787099441356351,1678787099443382642,210
1678787099541352731,1678787099543378807,211
1678787099641353081,1678787099643379582,212
1678787099741352682,1678787099743378768,213
1678787099841352849,1678787099843379049,214
1678787099941352961,1678787099943378917,215
1678787100041352700,1678787100043378784,216
1678787100141352842,1678787100143379873,217
1678787100241352668,1678787100243378979,218
1678787100341352823,1678787100343379019,219
1678787100441357177,1678787100443383413,220
1678787100541352907,1678787100543379062,221
1678787100641353104,1678787100643378923,222
1678787100741352692,1678787100743378796,223
1678787100841353055,1678787100843379280,224
1678787100941352739,1678787100943378912,225
1678787101041352761,1678787101043378986,226
1678787101141352815,1678787101143378976,227
1678787101241352730,1678787101243378889,228
1678787101341352745,1678787101343378961,229
1678787101441356399,1678787101443382021,230
1678787101541352857,1678787101543378942,231
