t1,t2,seqnr
1678786222967310835,1678786222969046300,177
1678786223067298761,1678786223069295384,178
1678786223167296700,1678786223169274710,179
1678786223267209601,1678786223269156158,180
1678786223367303605,1678786223369283851,181
1678786223467303993,1678786223469229471,182
1678786223567318093,1678786223569211849,183
1678786223667301065,1678786223669161530,184
1678786223767301092,1678786223769310503,185
1678786223867303071,1678786223869305549,186
1678786223967299004,1678786223969265114,187
1678786224067301139,1678786224069307502,188
1678786224167298609,1678786224169292377,189
1678786224267298045,1678786224269264675,190
1678786224367287830,1678786224369284308,191
1678786224467302812,1678786224469307367,192
1678786224567319937,1678786224569245346,193
1678786224667317771,1678786224669255017,194
1678786224767305625,1678786224769279799,195
1678786224867309516,1678786224869254170,196
1678786224967302100,1678786224969277816,197
1678786225067297981,1678786225069268847,198
1678786225167165583,1678786225169141396,199
1678786225267165966,1678786225269076290,200
1678786225367308916,1678786225369274617,201
1678786225467294590,1678786225469274989,202
1678786225567315358,1678786225569153479,203
1678786225667299354,1678786225669176195,204
1678786225767298493,1678786225769081392,205
1678786225867300984,1678786225869249787,206
1678786225967298781,1678786225969236475,207
1678786226067293764,1678786226069249736,208
1678786226167211342,1678786226169184543,209
1678786226267143774,1678786226269086932,210
1678786226367300623,1678786226369293983,211
1678786226467301826,1678786226469202792,212
1678786226567328402,1678786226569243678,213
1678786226667300831,1678786226669223356,214
1678786226767308861,1678786226769216566,215
1678786226867292975,1678786226869287049,216
1678786226967301862,1678786226969328504,217
1678786227067164831,1678786227069106500,218
1678786227167300030,1678786227169295602,219
1678786227267294267,1678786227269082908,220
1678786227367299844,1678786227369300471,221
1678786227467300791,1678786227469308378,222
1678786227567328371,1678786227569319867,223
1678786227667304946,1678786227669147845,224
1678786227767325127,1678786227769084509,225
1678786227867164882,1678786227869103613,226
1678786227967303389,1678786227969199865,227
1678786228067295670,1678786228069259602,228
1678786228167285775,1678786228169220697,229
1678786228267301613,1678786228269093588,230
1678786228367292838,1678786228369272554,231
1678786228467210356,1678786228469194562,232
1678786228567317952,1678786228569220846,233
1678786228667170641,1678786228669138119,234
1678786228767311716,1678786228769198851,235
1678786228867297845,1678786228869246221,236
1678786228967302557,1678786228969221763,237
1678786229067294242,1678786229069276165,238
1678786229167164704,1678786229169147837,239
1678786229267295322,1678786229269307267,240
1678786229367301641,1678786229369246741,241
1678786229467301769,1678786229469070864,242
1678786229567177633,1678786229569042953,243
1678786229667168189,1678786229669115222,244
1678786229767304154,1678786229769273990,245
1678786229867297869,1678786229869289889,246
1678786229967303549,1678786229969306267,247
1678786230067275686,1678786230069210780,248
1678786230167287476,1678786230169276968,249
1678786230267295344,1678786230269231166,250
1678786230367300549,1678786230369271716,251
1678786230467302815,1678786230469205707,252
1678786230567315018,1678786230569157372,253
1678786230667304667,1678786230669196419,254
1678786230767302688,1678786230769259024,255
1678786230867300386,1678786230869260292,256
1678786230967300999,1678786230969083607,257
1678786231067291344,1678786231069282687,258
1678786231167302785,1678786231169289577,259
1678786231267307152,1678786231269094239,260
1678786231367305888,1678786231369302962,261
1678786231467303890,1678786231469092209,262
1678786231567320938,1678786231569151917,263
1678786231667284375,1678786231669210951,264
1678786231767309397,1678786231769192366,265
1678786231867300797,1678786231869276080,266
1678786231967283380,1678786231969242664,267
1678786232067288321,1678786232069259213,268
1678786232167290398,1678786232169264680,269
1678786232267301379,1678786232269289458,270
1678786232367300730,1678786232369283698,271
1678786232467301325,1678786232469091903,272
1678786232567321926,1678786232569244539,273
1678786232667288044,1678786232669221938,274
1678786232767307443,1678786232769290079,275
1678786232867306862,1678786232869269971,276
1678786232967293561,1678786232969256192,277
1678786233067283692,1678786233069262655,278
1678786233167280099,1678786233169246264,279
1678786233267301599,1678786233269271984,280
1678786233367301568,1678786233369281652,281
1678786233467302968,1678786233469092219,282
1678786233567329276,1678786233569097485,283
1678786233667273409,1678786233669188465,284
1678786233767305470,1678786233769249691,285
1678786233867277447,1678786233869233309,286
1678786233967304630,1678786233969331580,287
1678786234067282530,1678786234069285819,288
1678786234167279261,1678786234169199630,289
1678786234267165017,1678786234269137155,290
1678786234367296817,1678786234369222709,291
1678786234467293035,1678786234469092304,292
1678786234567339439,1678786234569219920,293
1678786234667215344,1678786234669157831,294
1678786234767307855,1678786234769192162,295
1678786234867303607,1678786234869205124,296
1678786234967303377,1678786234969277670,297
1678786235067281277,1678786235069267490,298
1678786235167270089,1678786235169200338,299
1678786235267299396,1678786235269211008,300
1678786235367305710,1678786235369191875,301
1678786235467303312,1678786235469093546,302
1678786235567335788,1678786235569186716,303
1678786235667212910,1678786235669064781,304
1678786235767280976,1678786235769150495,305
1678786235867306806,1678786235869282644,306
1678786235967303335,1678786235969236505,307
1678786236067275704,1678786236069260020,308
1678786236167272441,1678786236169083411,309
1678786236267299074,1678786236269063836,310
1678786236367302618,1678786236369027729,311
1678786236467291560,1678786236469094701,312
1678786236567333217,1678786236569242337,313
1678786236667167070,1678786236669081209,314
1678786236767305614,1678786236769206825,315
1678786236867305925,1678786236869283739,316
1678786236967304999,1678786236969282692,317
1678786237067276358,1678786237069227221,318
1678786237167266662,1678786237169255808,319
1678786237267292586,1678786237269296195,320
1678786237367295661,1678786237369277745,321
1678786237467302284,1678786237469092241,322
1678786237567321488,1678786237569254000,323
1678786237667172196,1678786237669082384,324
1678786237767313927,1678786237769228102,325
1678786237867167720,1678786237869128578,326
1678786237967306861,1678786237969275144,327
1678786238067270460,1678786238069202786,328
1678786238167245954,1678786238169221199,329
1678786238267306664,1678786238269133081,330
1678786238367302524,1678786238369302893,331
