t1,t2,seqnr
1678785154510989549,1678785154512773735,177
1678785154610994422,1678785154612775734,178
1678785154710989235,1678785154712774080,179
1678785154810988048,1678785154812779591,180
1678785154910986428,1678785154912774008,181
1678785155010981691,1678785155012775613,182
1678785155110987011,1678785155112721336,183
1678785155210805598,1678785155212765475,184
1678785155310980566,1678785155312772355,185
1678785155410994366,1678785155412773792,186
1678785155510949389,1678785155512774257,187
1678785155610805824,1678785155612774025,188
1678785155710996799,1678785155712773697,189
1678785155810942485,1678785155812775890,190
1678785155910989633,1678785155912774363,191
1678785156010993631,1678785156012774443,192
1678785156110994521,1678785156112718301,193
1678785156210803925,1678785156212762490,194
1678785156310977508,1678785156312771890,195
1678785156410794712,1678785156412795802,196
1678785156510992798,1678785156512774116,197
1678785156610981556,1678785156612774141,198
1678785156710994250,1678785156712773933,199
1678785156810989891,1678785156812774487,200
1678785156910779987,1678785156912773805,201
1678785157010967650,1678785157012775557,202
1678785157110988884,1678785157112719973,203
1678785157210980176,1678785157212762235,204
1678785157310997390,1678785157312772774,205
1678785157410963237,1678785157412772019,206
1678785157510989270,1678785157512773875,207
1678785157610996460,1678785157612773917,208
1678785157710990591,1678785157712774253,209
1678785157810986765,1678785157812774116,210
1678785157910988830,1678785157912774006,211
1678785158010991261,1678785158012773842,212
1678785158110990165,1678785158112725433,213
1678785158210965748,1678785158212760872,214
1678785158310834807,1678785158312778001,215
1678785158410986720,1678785158412771253,216
1678785158510994001,1678785158512773789,217
1678785158610995017,1678785158612775910,218
1678785158710986570,1678785158712774299,219
1678785158810990682,1678785158812775902,220
1678785158910983227,1678785158912773735,221
1678785159010992182,1678785159012773917,222
1678785159110994516,1678785159112731625,223
1678785159210986075,1678785159212761713,224
1678785159310987694,1678785159312768241,225
1678785159410805761,1678785159412774428,226
1678785159511001883,1678785159512773946,227
1678785159610993962,1678785159612774343,228
1678785159710992648,1678785159712774337,229
1678785159810972701,1678785159812773809,230
1678785159910807713,1678785159912773865,231
1678785160010988275,1678785160012773823,232
1678785160110983725,1678785160112720724,233
1678785160210989661,1678785160212764340,234
1678785160310988657,1678785160312783593,235
1678785160410991003,1678785160412772186,236
1678785160510986815,1678785160512774038,237
1678785160610987779,1678785160612775999,238
1678785160710987460,1678785160712773919,239
1678785160810990160,1678785160812774437,240
1678785160910805869,1678785160912774328,241
1678785161010812795,1678785161012776547,242
1678785161111001290,1678785161112735634,243
1678785161210984857,1678785161212760979,244
1678785161310981899,1678785161312767148,245
1678785161410986301,1678785161412771357,246
1678785161510991811,1678785161512772161,247
1678785161610989805,1678785161612773957,248
1678785161710904368,1678785161712773851,249
1678785161810987571,1678785161812774457,250
1678785161910995650,1678785161912774054,251
1678785162010796706,1678785162012774220,252
1678785162110985651,1678785162112738458,253
1678785162210985244,1678785162212760878,254
1678785162310992887,1678785162312768566,255
1678785162410796117,1678785162412772115,256
1678785162510981213,1678785162512773736,257
1678785162610981735,1678785162612774357,258
1678785162710983773,1678785162712774651,259
1678785162810981787,1678785162812774627,260
1678785162910992396,1678785162912773949,261
1678785163010808848,1678785163012773176,262
1678785163110992540,1678785163112748514,263
1678785163210991743,1678785163212760926,264
1678785163310978935,1678785163312775791,265
1678785163410995627,1678785163412774104,266
1678785163510801954,1678785163512782855,267
1678785163610848614,1678785163612775828,268
1678785163710994575,1678785163712773836,269
1678785163810979776,1678785163812777260,270
1678785163910990380,1678785163912721214,271
1678785164010987531,1678785164012763990,272
1678785164110988918,1678785164112772160,273
1678785164210994738,1678785164212772377,274
1678785164310990680,1678785164312774249,275
1678785164410987454,1678785164412773957,276
1678785164510989230,1678785164512773809,277
1678785164610804300,1678785164612774562,278
1678785164710991637,1678785164712773971,279
1678785164810980383,1678785164812774535,280
1678785164910991870,1678785164912774256,281
1678785165010778608,1678785165012775402,282
1678785165110998612,1678785165112736959,283
1678785165210969613,1678785165212762796,284
1678785165310984733,1678785165312770843,285
1678785165410985452,1678785165412772470,286
1678785165510962137,1678785165512774207,287
1678785165610992459,1678785165612773845,288
1678785165711003817,1678785165712774237,289
1678785165810989002,1678785165812774208,290
1678785165910989963,1678785165912773868,291
1678785166010993219,1678785166012773995,292
1678785166110988076,1678785166112735154,293
1678785166210806018,1678785166212762231,294
1678785166310969467,1678785166312771737,295
1678785166411016276,1678785166412771370,296
1678785166510985680,1678785166512774210,297
1678785166610946963,1678785166612774143,298
1678785166710991647,1678785166712774131,299
1678785166810994320,1678785166812774399,300
1678785166911009888,1678785166912774443,301
1678785167010994878,1678785167012775850,302
1678785167110991932,1678785167112768115,303
1678785167210990280,1678785167212761621,304
1678785167310978594,1678785167312772512,305
1678785167410936572,1678785167412773993,306
1678785167510806114,1678785167512778084,307
1678785167610991652,1678785167612774418,308
1678785167710988700,1678785167712773948,309
1678785167810990053,1678785167812774091,310
1678785167911004818,1678785167912773713,311
1678785168011000597,1678785168012774478,312
1678785168110993634,1678785168112759258,313
1678785168210998324,1678785168212762744,314
1678785168310980142,1678785168312772084,315
1678785168411002674,1678785168412772641,316
1678785168510992806,1678785168512774467,317
1678785168610805227,1678785168612774150,318
1678785168710809636,1678785168712780753,319
1678785168810989999,1678785168812774134,320
1678785168910981651,1678785168912773892,321
1678785169010992261,1678785169012775925,322
1678785169110990203,1678785169112759237,323
1678785169210802420,1678785169212765370,324
1678785169310980755,1678785169312772001,325
1678785169411006187,1678785169412772136,326
1678785169510996101,1678785169512774363,327
1678785169610964936,1678785169612774257,328
1678785169710991083,1678785169712773940,329
1678785169810984043,1678785169812773875,330
1678785169910986438,1678785169912773868,331
1678785170010991323,1678785170012774456,332
1678785170110996421,1678785170112759425,333
1678785170210803200,1678785170212763529,334
1678785170310980111,1678785170312772233,335
1678785170410986787,1678785170412773940,336
1678785170510989249,1678785170512774311,337
