t1,t2,seqnr
1678787470568886485,1678787470570912845,184
1678787470668886446,1678787470670912530,185
1678787470768886550,1678787470770912621,186
1678787470868886631,1678787470870912710,187
1678787470968886492,1678787470970912691,188
1678787471068892726,1678787471070918880,189
1678787471168890311,1678787471170916691,190
1678787471268886556,1678787471270912595,191
1678787471368886439,1678787471370912550,192
1678787471468886469,1678787471470912419,193
1678787471568886540,1678787471570912666,194
1678787471668886374,1678787471670912276,195
1678787471768886468,1678787471770912454,196
1678787471868886395,1678787471870912348,197
1678787471968886455,1678787471970912572,198
1678787472068892457,1678787472070918539,199
1678787472268886500,1678787472270912852,201
1678787472368886373,1678787472370912406,202
1678787472468886531,1678787472470912443,203
1678787472568886514,1678787472570912686,204
1678787472668886507,1678787472670912459,205
1678787472768886407,1678787472770912537,206
1678787472868886469,1678787472870912381,207
1678787472968886440,1678787472970912645,208
1678787473068888803,1678787473070914858,209
1678787473168890184,1678787473170916653,210
1678787473268886483,1678787473270912545,211
1678787473368886529,1678787473370912961,212
1678787473468886487,1678787473470912552,213
1678787473568886517,1678787473570912742,214
1678787473668886501,1678787473670912474,215
1678787473768886389,1678787473770912363,216
1678787473868886498,1678787473870912432,217
1678787473968886469,1678787473970912672,218
1678787474068890440,1678787474070916656,219
1678787474168890089,1678787474170915801,220
1678787474268886463,1678787474270912830,221
1678787474368886442,1678787474370912436,222
1678787474468886566,1678787474470912705,223
1678787474568886487,1678787474570912595,224
1678787474668886518,1678787474670906492,225
1678787474768886386,1678787474770912467,226
1678787474868886416,1678787474870912381,227
1678787474968886445,1678787474970912642,228
1678787475068886465,1678787475070912549,229
1678787475168890190,1678787475170916418,230
1678787475268886536,1678787475270911945,231
1678787475368886434,1678787475370912528,232
1678787475468886543,1678787475470912577,233
1678787475568886466,1678787475570912656,234
1678787475668886495,1678787475670912273,235
1678787475768886394,1678787475770912445,236
1678787475868886419,1678787475870912449,237
1678787475968886452,1678787475970912557,238
1678787476068886483,1678787476070912469,239
1678787476168890017,1678787476170916440,240
1678787476268886526,1678787476270912627,241
1678787476368886411,1678787476370912295,242
1678787476468886506,1678787476470911623,243
1678787476568886496,1678787476570912658,244
1678787476668886502,1678787476670912198,245
1678787476768886461,1678787476770912455,246
1678787476868886402,1678787476870912258,247
1678787476968886504,1678787476970912611,248
1678787477068886423,1678787477070912405,249
1678787477168890020,1678787477170916349,250
1678787477268886519,1678787477270912427,251
1678787477368886430,1678787477370912559,252
1678787477468886564,1678787477470912472,253
1678787477568886459,1678787477570912437,254
1678787477668886508,1678787477670912519,255
1678787477768886348,1678787477770912360,256
1678787477868886449,1678787477870912596,257
1678787477968886473,1678787477970912733,258
1678787478068886353,1678787478070913401,259
1678787478168889640,1678787478170915219,260
1678787478268886647,1678787478270912797,261
1678787478368886478,1678787478370912476,262
1678787478468886524,1678787478470912711,263
